Home_Team,Away_Team,Actual_Total,Closing_Total,Error,Abs_Error
Coppin State,La Salle,141,268.0,127.0,127.0
Davidson,Washington & Lee,149,298.0,149.0,149.0
Dayton,SIU-Edwardsville,110,210.0,100.0,100.0
Drake,St. Thomas,163,330.0,167.0,167.0
Duquesne,Cleveland State,156,304.0,148.0,148.0
East Carolina,Ferrum,152,318.0,166.0,166.0
ETSU,King (TN),129,252.0,123.0,123.0
Eastern Kentucky,Hanover,137,272.0,135.0,135.0
Eastern Michigan,Detroit Mercy,106,218.0,112.0,112.0
Elon,East Carolina,105,200.0,95.0,95.0
Fairfield,Lehman,115,232.0,117.0,117.0
Florida International,Florida National University,143,298.0,155.0,155.0
Fordham,Wagner,132,250.0,118.0,118.0
Furman,North Greenville,152,306.0,154.0,154.0
Gardner-Webb,Erskine,156,314.0,158.0,158.0
George Mason,Monmouth,133,272.0,139.0,139.0
Georgetown,Maryland-Eastern Shore,111,212.0,101.0,101.0
Georgia Tech,Georgia Southern,146,280.0,134.0,134.0
Georgia,North Carolina A&T,130,264.0,134.0,134.0
Harvard,Massachusetts-Boston,128,258.0,130.0,130.0
High Point,St. Andrews,156,314.0,158.0,158.0
Howard,Hampton,172,346.0,174.0,174.0
Indiana State,Saint Mary-of-the-Woods College,150,294.0,144.0,144.0
IU Indianapolis,Eastern Illinois,149,300.0,151.0,151.0
Jacksonville,Johnson (FL),159,320.0,161.0,161.0
James Madison,Eastern Mennonite,135,264.0,129.0,129.0
Kansas State,Presbyterian,104,224.0,120.0,120.0
Kent State,Malone,137,278.0,141.0,141.0
Lehigh,Cornell,162,314.0,152.0,152.0
Liberty,Mid-Atlantic Christian,146,298.0,152.0,152.0
Lindenwood,Tulsa,169,330.0,161.0,161.0
Louisiana Tech,Louisiana State-Alexandria,130,266.0,136.0,136.0
Louisville,UMBC,187,384.0,197.0,197.0
Loyola (IL),UIC,118,230.0,112.0,112.0
Manhattan,Central Connecticut,87,182.0,95.0,95.0
Marshall,Queens (NC),162,328.0,166.0,166.0
Mercer,Clark Atlanta,135,276.0,141.0,141.0
Merrimack,Albany (NY),113,242.0,129.0,129.0
Michigan,Purdue Fort Wayne,141,280.0,139.0,139.0
New Mexico,Texas Southern,135,264.0,129.0,129.0
New Orleans,Millsaps,170,332.0,162.0,162.0
Nicholls State,North American,147,288.0,141.0,141.0
Norfolk State,Penn St.-Wilkes Barre,157,314.0,157.0,157.0
NC State,The Citadel,131,264.0,133.0,133.0
UNC Wilmington,Mount Olive,171,344.0,173.0,173.0
North Florida,Coastal Georgia,147,302.0,155.0,155.0
North Texas,North Texas at Dallas,159,318.0,159.0,159.0
Northern Colorado,Hastings (NE),142,296.0,154.0,154.0
Northern Iowa,Green Bay,145,288.0,143.0,143.0
Northern Kentucky,Indiana State,167,358.0,191.0,191.0
Northwestern State,Dallas Christian,155,316.0,161.0,161.0
Notre Dame,Niagara,133,258.0,125.0,125.0
Ohio State,Oakland,152,294.0,142.0,142.0
Old Dominion,Virginia Wesleyan,128,260.0,132.0,132.0
Penn State,Delaware State,124,246.0,122.0,122.0
Pitt,North Carolina A&T,152,310.0,158.0,158.0
Princeton,Duquesne,122,248.0,126.0,126.0
Providence,Columbia,137,274.0,137.0,137.0
Quinnipiac,Coast Guard,164,320.0,156.0,156.0
Radford,Concord,130,248.0,118.0,118.0
Rhode Island,Central Connecticut,151,298.0,147.0,147.0
Richmond,VMI,168,344.0,176.0,176.0
Rider,Immaculata,180,362.0,182.0,182.0
Rutgers,Princeton,129,248.0,119.0,119.0
Rutgers,Monmouth,107,216.0,109.0,109.0
Sacred Heart,Sarah Lawrence,146,296.0,150.0,150.0
Saint Francis (PA),Robert Morris,111,214.0,103.0,103.0
St. Joseph's,Lafayette,141,284.0,143.0,143.0
Seton Hall,St. Peter's,129,258.0,129.0,129.0
Siena,Holy Cross,144,278.0,134.0,134.0
South Carolina,USC Upstate,135,274.0,139.0,139.0
South Carolina State,Voorhees,122,248.0,126.0,126.0
South Dakota State,Arkansas State,97,204.0,107.0,107.0
South Florida,UT Arlington,137,282.0,145.0,145.0
Southeastern Louisiana,Delta State,161,310.0,149.0,149.0
St. Bonaventure,Longwood,142,276.0,134.0,134.0
St. John's (NY),LIU,125,254.0,129.0,129.0
Stetson,Trinity Baptist,163,330.0,167.0,167.0
Syracuse,New Hampshire,155,314.0,159.0,159.0
Temple,Maryland-Eastern Shore,150,332.0,182.0,182.0
UT-Martin,Champion Christian,180,364.0,184.0,184.0
East Texas A&M,LeTourneau,137,284.0,147.0,147.0
Texas-Rio Grande Valley,Southwestern Adventist,169,346.0,177.0,177.0
Toledo,Detroit Mercy,154,314.0,160.0,160.0
Towson,UMBC,148,294.0,146.0,146.0
Utah Valley,Carroll (MT),154,314.0,160.0,160.0
Vermont,Merrimack,122,238.0,116.0,116.0
Virginia,Tarleton State,130,258.0,128.0,128.0
VCU,McNeese State,141,278.0,137.0,137.0
West Virginia,Missouri State,126,252.0,126.0,126.0
Western Carolina,Agnes Scott,128,276.0,148.0,148.0
Western Michigan,North Dakota State,156,296.0,140.0,140.0
Wichita State,Lipscomb,135,276.0,141.0,141.0
William & Mary,Regent,113,212.0,99.0,99.0
Wofford,Brevard,153,302.0,149.0,149.0
Yale,Vassar,155,320.0,165.0,165.0
UAB,Bradley,144,288.0,144.0,144.0
Arizona State,UTSA,125,240.0,115.0,115.0
Little Rock,Texas State,137,268.0,131.0,131.0
Army,Marist,126,258.0,132.0,132.0
Auburn,Jacksonville State,127,248.0,121.0,121.0
Austin Peay,Life,162,326.0,164.0,164.0
Boise State,College of Idaho,112,224.0,112.0,112.0
Boston College,Fairfield,159,312.0,153.0,153.0
Butler,Eastern Michigan,149,316.0,167.0,167.0
UC-San Diego,California Baptist,114,234.0,120.0,120.0
Campbell,Navy,107,196.0,89.0,89.0
UCF,Florida International,147,296.0,149.0,149.0
DePaul,Western Michigan,130,254.0,124.0,124.0
Evansville,Miami (OH),136,280.0,144.0,144.0
Florida,Loyola (MD),166,326.0,160.0,160.0
Fresno State,Fresno Pacific,112,224.0,112.0,112.0
George Washington,Stonehill,133,270.0,137.0,137.0
Grambling,North Texas at Dallas,149,306.0,157.0,157.0
Idaho State,Warner Pacific,128,246.0,118.0,118.0
Illinois State,Lourdes,131,260.0,129.0,129.0
Iowa State,Green Bay,129,254.0,125.0,125.0
Lamar,Jarvis Christian,180,354.0,174.0,174.0
Louisiana,Youngstown State,134,284.0,150.0,150.0
LSU,Mississippi Valley State,166,336.0,170.0,170.0
Memphis,Jackson State,171,332.0,161.0,161.0
Middle Tennessee,Northern Kentucky,131,270.0,139.0,139.0
Milwaukee,Wisconsin-Stout,164,346.0,182.0,182.0
Minnesota,Bethune-Cookman,140,288.0,148.0,148.0
Ole Miss,Alabama State,128,244.0,116.0,116.0
Missouri,Arkansas-Pine Bluff,180,356.0,176.0,176.0
Kansas City,Avila,127,264.0,137.0,137.0
Murray State,Midway,149,292.0,143.0,143.0
Nebraska,Lindenwood,136,276.0,140.0,140.0
Omaha,Doane College,138,282.0,144.0,144.0
New Mexico State,Arizona,125,242.0,117.0,117.0
North Alabama,Blue Mountain Christian University,153,306.0,153.0,153.0
Northeastern,Boston University,125,222.0,97.0,97.0
Northwestern,Binghamton,133,258.0,125.0,125.0
Oklahoma,Central Michigan,148,294.0,146.0,146.0
Oregon State,Arkansas-Pine Bluff,159,308.0,149.0,149.0
Portland,San Diego State,130,274.0,144.0,144.0
Rice,Houston Christian,108,204.0,96.0,96.0
Saint Louis,Southern Indiana,138,272.0,134.0,134.0
San Diego,Chapman,130,262.0,132.0,132.0
Southern Illinois,Kentucky State,145,302.0,157.0,157.0
Southern Indiana,Wright State,130,248.0,118.0,118.0
SMU,SW Assembl. of God,145,300.0,155.0,155.0
Tarleton State,Howard Payne,144,288.0,144.0,144.0
Tennessee State,Fisk,137,266.0,129.0,129.0
UT Arlington,Oral Roberts,146,296.0,150.0,150.0
UTSA,Western Illinois,146,294.0,148.0,148.0
Texas State,Arlington Baptist,138,270.0,132.0,132.0
Tulsa,Central Arkansas,123,246.0,123.0,123.0
Valparaiso,Trinity Christian,161,318.0,157.0,157.0
Virginia Tech,Coppin State,155,310.0,155.0,155.0
Wake Forest,Elon,179,364.0,185.0,185.0
Washington,Sacramento State,104,222.0,118.0,118.0
Western Illinois,Mount Mercy,138,266.0,128.0,128.0
Western Kentucky,Kentucky Wesleyan,154,326.0,172.0,172.0
Wisconsin,Arkansas State,181,346.0,165.0,165.0
Wyoming,North Dakota,137,272.0,135.0,135.0
Xavier,Robert Morris,140,286.0,146.0,146.0
Air Force,Portland State,117,236.0,119.0,119.0
BYU,Houston Christian,173,340.0,167.0,167.0
Cal State Northridge,Utah State,143,284.0,141.0,141.0
California,St. Thomas,137,270.0,133.0,133.0
UC-Davis,William Jessup,137,268.0,131.0,131.0
Cincinnati,UIC,127,262.0,135.0,135.0
Grand Canyon,Southeast Missouri State,155,314.0,159.0,159.0
Idaho,Walla Walla,142,278.0,136.0,136.0
Montana State,Northwest Indian College,166,340.0,174.0,174.0
Montana,Gonzaga,153,308.0,155.0,155.0
Northern Colorado,Colorado College,145,296.0,151.0,151.0
Oklahoma State,Abilene Christian,123,252.0,129.0,129.0
Oregon,Northern Arizona,129,250.0,121.0,121.0
South Dakota,Mount Marty,138,272.0,134.0,134.0
South Dakota State,Akron,156,318.0,162.0,162.0
TCU,Southern,183,372.0,189.0,189.0
UTEP,McMurry,191,382.0,191.0,191.0
Tulane,Nicholls State,172,344.0,172.0,172.0
Utah,Eastern Washington,167,344.0,177.0,177.0
Utah State,South Dakota Mines,149,292.0,143.0,143.0
Utah Valley,Weber State,111,226.0,115.0,115.0
Cal Poly,La Verne,142,282.0,140.0,140.0
Cal State Bakersfield,Southern Utah,145,288.0,143.0,143.0
California Baptist,San Francisco State,131,272.0,141.0,141.0
UC-San Diego,Denver,182,372.0,190.0,190.0
Colorado State,Louisiana Tech,154,314.0,160.0,160.0
Loyola Marymount,UNLV,134,280.0,146.0,146.0
Pacific,Sam Houston,121,242.0,121.0,121.0
Pepperdine,Concordia (CA),140,286.0,146.0,146.0
Portland,Long Beach State,151,300.0,149.0,149.0
San Francisco,Bethesda University (CA),187,376.0,189.0,189.0
San Jose State,Santa Clara,102,202.0,100.0,100.0
California,Cal State Bakersfield,145,290.0,145.0,145.0
San Diego,Sonoma State,132,270.0,138.0,138.0
Stanford,Cal State Northridge,167,328.0,161.0,161.0
UCLA,Saint Francis (PA),119,256.0,137.0,137.0
Washington,Bellarmine,148,288.0,140.0,140.0
Washington State,Idaho,143,276.0,133.0,133.0
UConn,Stonehill,174,358.0,184.0,184.0
Houston,Texas A&M-Corpus Christi,132,270.0,138.0,138.0
Creighton,North Dakota State,149,304.0,155.0,155.0
Marquette,Illinois,138,282.0,144.0,144.0
Temple,Bucknell,130,260.0,130.0,130.0
Samford,Central Arkansas,127,246.0,119.0,119.0
UTEP,Kansas City,122,244.0,122.0,122.0
San Jose State,Cal Poly,117,228.0,111.0,111.0
Brown,Loyola (MD),152,312.0,160.0,160.0
Miami (OH),Texas State,140,278.0,138.0,138.0
Bowling Green State,Arkansas State,156,304.0,148.0,148.0
Central Michigan,Louisiana-Monroe,138,274.0,136.0,136.0
ETSU,Lafayette,94,192.0,98.0,98.0
Eastern Michigan,Georgia Southern,130,256.0,126.0,126.0
La Salle,American,115,224.0,109.0,109.0
UNC Greensboro,South Carolina State,91,184.0,93.0,93.0
Penn,Marist,125,252.0,127.0,127.0
Wofford,High Point,197,390.0,193.0,193.0
Yale,St. Joseph's,111,218.0,107.0,107.0
Canisius,Saint Francis (PA),140,282.0,142.0,142.0
Davidson,Wake Forest,109,206.0,97.0,97.0
Fordham,Cornell,151,290.0,139.0,139.0
Gardner-Webb,Elon,159,312.0,153.0,153.0
George Washington,William & Mary,184,366.0,182.0,182.0
Green Bay,Illinois State,150,302.0,152.0,152.0
Purdue Fort Wayne,Great Lakes,165,342.0,177.0,177.0
UMBC,Colgate,108,224.0,116.0,116.0
Niagara,Duquesne,161,320.0,159.0,159.0
St. Bonaventure,Robert Morris,122,244.0,122.0,122.0
Western Michigan,Georgia State,147,286.0,139.0,139.0
Appalachian State,Ohio,135,270.0,135.0,135.0
Little Rock,Kansas State,116,230.0,114.0,114.0
Ball State,Old Dominion,141,284.0,143.0,143.0
Buffalo,South Alabama,126,244.0,118.0,118.0
East Carolina,Campbell,140,284.0,144.0,144.0
Eastern Kentucky,Northern Kentucky,161,336.0,175.0,175.0
Georgia Southern,Eastern Michigan,140,280.0,140.0,140.0
Georgia Tech,Furman,147,298.0,151.0,151.0
High Point,Lees-McRae,146,298.0,152.0,152.0
Le Moyne,Stony Brook,143,282.0,139.0,139.0
Longwood,St. Mary's (MD),138,278.0,140.0,140.0
UNC Asheville,UNC Wilmington,149,298.0,149.0,149.0
Notre Dame,Western Carolina,132,264.0,132.0,132.0
Pitt,West Virginia,133,260.0,127.0,127.0
Presbyterian,Johnson C. Smith,116,232.0,116.0,116.0
Stonehill,Lehigh,112,228.0,116.0,116.0
Arizona State,Texas Southern,115,242.0,127.0,127.0
Jacksonville State,Utah Tech,160,328.0,168.0,168.0
UMBC,Marist,124,266.0,142.0,142.0
Maryland-Eastern Shore,Cairn,148,290.0,142.0,142.0
Northern Illinois,Appalachian State,169,346.0,177.0,177.0
Sam Houston,Houston Christian,132,266.0,134.0,134.0
Southeast Missouri State,Stephens,142,302.0,160.0,160.0
Southern Illinois,Cornell,157,308.0,151.0,151.0
SMU,Alabama State,143,278.0,135.0,135.0
Southern Miss,Akron,137,268.0,131.0,131.0
Texas State,Bowling Green State,122,226.0,104.0,104.0
Tulsa,Incarnate Word,156,308.0,152.0,152.0
Wofford,UNC Wilmington,123,240.0,117.0,117.0
La Salle,Northeastern,153,308.0,155.0,155.0
Mount St. Mary's,Coppin State,134,270.0,136.0,136.0
NJIT,St. Peter's,123,262.0,139.0,139.0
Old Dominion,Buffalo,107,222.0,115.0,115.0
Santa Clara,Hawaii,113,222.0,109.0,109.0
Seton Hall,FDU,140,272.0,132.0,132.0
St. Bonaventure,Canisius,137,278.0,141.0,141.0
St. Thomas,Wisconsin-River Falls,163,314.0,151.0,151.0
Troy,Ball State,157,330.0,173.0,173.0
UC-Irvine,Seattle,117,244.0,127.0,127.0
Columbia,Albany (NY),153,302.0,149.0,149.0
Lipscomb,Asbury,187,360.0,173.0,173.0
Mississippi State,UT-Martin,150,312.0,162.0,162.0
New Orleans,Southern–New Orleans,175,350.0,175.0,175.0
San Diego,Portland State,114,238.0,124.0,124.0
Seattle,Montana State,139,264.0,125.0,125.0
Winthrop,Drexel,146,286.0,140.0,140.0
Cleveland State,Ohio,160,320.0,160.0,160.0
Kentucky,USC Upstate,136,272.0,136.0,136.0
Maryland-Eastern Shore,Washington Adventist,162,320.0,158.0,158.0
Providence,Milwaukee,148,302.0,154.0,154.0
UT Arlington,Texas-Tyler,159,308.0,149.0,149.0
Youngstown State,Slippery Rock,110,218.0,108.0,108.0
Kent State,Fresno State,148,298.0,150.0,150.0
UNLV,Stetson,126,256.0,130.0,130.0
Niagara,Bucknell,137,280.0,143.0,143.0
Santa Clara,Saint Francis (PA),141,272.0,131.0,131.0
Toledo,Louisiana,165,316.0,151.0,151.0
Vermont,SUNY-Plattsburgh,133,276.0,143.0,143.0
Xavier,James Madison,135,272.0,137.0,137.0
Arkansas-Pine Bluff,Southwestern Christian,180,354.0,174.0,174.0
Bradley,Utah State,138,290.0,152.0,152.0
Georgetown,Holy Cross,135,270.0,135.0,135.0
Louisiana-Monroe,Miami (OH),140,290.0,150.0,150.0
Loyola (IL),Eastern Illinois,154,308.0,154.0,154.0
Kansas City,Saint Mary (KS),137,292.0,155.0,155.0
North Dakota,Grand Canyon,134,282.0,148.0,148.0
North Texas,Omaha,139,276.0,137.0,137.0
Richmond,Siena,138,284.0,146.0,146.0
Saint Louis,Illinois State,151,308.0,157.0,157.0
Tarleton State,North Texas at Dallas,145,302.0,157.0,157.0
Pepperdine,Cal Tech,121,234.0,113.0,113.0
Wyoming,Cal Poly,146,298.0,152.0,152.0
Cal State Fullerton,La Sierra,126,260.0,134.0,134.0
UC-Irvine,New Mexico State,165,316.0,151.0,151.0
UC-San Diego,San Diego,132,254.0,122.0,122.0
DePaul,Long Beach State,150,282.0,132.0,132.0
South Carolina,Clemson,149,296.0,147.0,147.0
Iowa,Kansas State,123,252.0,129.0,129.0
Towson,Houston,114,240.0,126.0,126.0
Stanford,Cal Poly,118,236.0,118.0,118.0
UConn,Maryland,128,270.0,142.0,142.0
Virginia Tech,Houston Christian,141,270.0,129.0,129.0
Ohio State,Boston College,154,294.0,140.0,140.0
Louisville,Bellarmine,144,288.0,144.0,144.0
Creighton,Green Bay,118,240.0,122.0,122.0
Fordham,Manhattan,102,204.0,102.0,102.0
Indiana,Wright State,169,320.0,151.0,151.0
Manhattan,Felician,146,292.0,146.0,146.0
Mercer,Georgia,134,256.0,122.0,122.0
Morgan State,Notre Dame (MD),107,220.0,113.0,113.0
Purdue,Texas A&M,130,264.0,134.0,134.0
UAB,Alcorn State,157,306.0,149.0,149.0
California,Montana State,123,242.0,119.0,119.0
Eastern Washington,Corban,119,228.0,109.0,109.0
Norfolk State,Appalachian State,120,240.0,120.0,120.0
UNC Wilmington,Western Carolina,97,202.0,105.0,105.0
Vermont,College of Charleston,137,266.0,129.0,129.0
Abilene Christian,Angelo State,122,248.0,126.0,126.0
North Texas,St. John's (NY),105,206.0,101.0,101.0
Cal State Bakersfield,St. Katherine,121,236.0,115.0,115.0
Portland,Warner Pacific,135,270.0,135.0,135.0
Wyoming,Saint Louis,148,288.0,140.0,140.0
Coastal Carolina,Wichita State,163,322.0,159.0,159.0
LSU,Dayton,137,264.0,127.0,127.0
Maine,Northwestern State,143,302.0,159.0,159.0
Denver,SIU-Edwardsville,151,302.0,151.0,151.0
Milwaukee,Louisiana-Monroe,140,274.0,134.0,134.0
Youngstown State,Western Michigan,106,214.0,108.0,108.0
Air Force,Lindenwood,134,268.0,134.0,134.0
Colgate,Canisius,116,230.0,114.0,114.0
Jacksonville,Georgia Southern,120,246.0,126.0,126.0
UMass,Harvard,135,276.0,141.0,141.0
Michigan State,Detroit Mercy,149,294.0,145.0,145.0
St. Bonaventure,Oklahoma State,130,256.0,126.0,126.0
Prairie View,North American,145,288.0,143.0,143.0
Alabama,South Florida,111,202.0,91.0,91.0
American,NJIT,160,308.0,148.0,148.0
Boston University,Bryant,174,360.0,186.0,186.0
Bradley,Loyola (IL),129,272.0,143.0,143.0
Brown,Rhode Island College,143,284.0,141.0,141.0
UCF,Cal State Fullerton,116,236.0,120.0,120.0
The Citadel,North Greenville,136,274.0,138.0,138.0
Columbia,Towson,137,300.0,163.0,163.0
Duke,Davidson,131,272.0,141.0,141.0
Grambling,Arizona State,137,272.0,135.0,135.0
Lamar,Louisiana State-Alexandria,120,232.0,112.0,112.0
Lehigh,SUNY-Oneonta,155,296.0,141.0,141.0
Liberty,Furman,162,326.0,164.0,164.0
Louisiana-Monroe,Louisiana Tech,136,266.0,130.0,130.0
North Florida,Presbyterian,150,288.0,138.0,138.0
Ohio,Dayton,128,250.0,122.0,122.0
St. Bonaventure,Albany (NY),122,234.0,112.0,112.0
St. John's (NY),Penn State,122,258.0,136.0,136.0
Stephen F. Austin,North Texas,133,274.0,141.0,141.0
Tennessee Tech,Midway,152,304.0,152.0,152.0
Virginia,Texas Southern,95,202.0,107.0,107.0
McNeese State,Mississippi Valley State,167,334.0,167.0,167.0
North Dakota,Valley City State,156,304.0,148.0,148.0
Northeastern,Merrimack,105,222.0,117.0,117.0
Rice,Georgia Tech,153,310.0,157.0,157.0
South Alabama,Nicholls State,199,390.0,191.0,191.0
Southern Illinois,Chicago State,126,250.0,124.0,124.0
Southern Indiana,Northern Illinois,126,244.0,118.0,118.0
Texas Tech,Texas A&M-Corpus Christi,137,262.0,125.0,125.0
Tulsa,Jackson State,124,256.0,132.0,132.0
Arizona State,UMass-Lowell,140,296.0,156.0,156.0
Notre Dame,Auburn,142,272.0,130.0,130.0
Grand Canyon,Oregon,120,244.0,124.0,124.0
Idaho State,Northwest University,136,266.0,130.0,130.0
Loyola Marymount,Biola,102,200.0,98.0,98.0
Minnesota,Missouri,138,270.0,132.0,132.0
Omaha,William & Mary,172,336.0,164.0,164.0
New Mexico,UT Arlington,162,324.0,162.0,162.0
Wake Forest,Utah,147,286.0,139.0,139.0
Montana,North Dakota State,147,296.0,149.0,149.0
Marquette,Kansas,132,264.0,132.0,132.0
Purdue,Tennessee,138,274.0,136.0,136.0
Duke,La Salle,161,314.0,153.0,153.0
Gonzaga,Syracuse,133,262.0,129.0,129.0
Notre Dame,Chicago State,148,302.0,154.0,154.0
Colorado,Florida State,148,300.0,152.0,152.0
Southern Illinois,James Madison,158,308.0,150.0,150.0
