win_rate_pct,win_probability,decimal_odds,american_odds_exact,american_odds_rounded,min_acceptable_odds
54.5,0.545,1.83,-119.8,-120,-120
54.6,0.546,1.83,-120.3,-120,-120
54.7,0.547,1.83,-120.8,-120,-120
54.8,0.548,1.82,-121.2,-120,-120
54.9,0.549,1.82,-121.7,-120,-120
55.0,0.55,1.82,-122.2,-120,-120
55.1,0.551,1.81,-122.7,-125,-125
55.2,0.552,1.81,-123.2,-125,-125
55.3,0.553,1.81,-123.7,-125,-125
55.4,0.554,1.81,-124.2,-125,-125
55.5,0.555,1.8,-124.7,-125,-125
55.6,0.556,1.8,-125.2,-125,-125
55.7,0.557,1.8,-125.7,-125,-125
55.8,0.558,1.79,-126.2,-125,-125
55.9,0.559,1.79,-126.8,-125,-125
56.0,0.56,1.79,-127.3,-125,-125
56.1,0.561,1.78,-127.8,-130,-130
56.2,0.562,1.78,-128.3,-130,-130
56.3,0.563,1.78,-128.8,-130,-130
56.4,0.564,1.77,-129.4,-130,-130
56.5,0.565,1.77,-129.9,-130,-130
56.6,0.566,1.77,-130.4,-130,-130
56.7,0.567,1.76,-130.9,-130,-130
56.8,0.568,1.76,-131.5,-130,-130
56.9,0.569,1.76,-132.0,-130,-130
57.0,0.57,1.75,-132.6,-135,-135
57.1,0.571,1.75,-133.1,-135,-135
57.2,0.572,1.75,-133.6,-135,-135
57.3,0.573,1.75,-134.2,-135,-135
57.4,0.574,1.74,-134.7,-135,-135
57.5,0.575,1.74,-135.3,-135,-135
57.6,0.576,1.74,-135.8,-135,-135
57.7,0.577,1.73,-136.4,-135,-135
57.8,0.578,1.73,-137.0,-135,-135
57.9,0.579,1.73,-137.5,-140,-140
58.0,0.58,1.72,-138.1,-140,-140
58.1,0.581,1.72,-138.7,-140,-140
58.2,0.582,1.72,-139.2,-140,-140
58.3,0.583,1.72,-139.8,-140,-140
58.4,0.584,1.71,-140.4,-140,-140
58.5,0.585,1.71,-141.0,-140,-140
58.6,0.586,1.71,-141.5,-140,-140
58.7,0.587,1.7,-142.1,-140,-140
58.8,0.588,1.7,-142.7,-145,-145
58.9,0.589,1.7,-143.3,-145,-145
59.0,0.59,1.69,-143.9,-145,-145
59.1,0.591,1.69,-144.5,-145,-145
59.2,0.592,1.69,-145.1,-145,-145
59.3,0.593,1.69,-145.7,-145,-145
59.4,0.594,1.68,-146.3,-145,-145
59.5,0.595,1.68,-146.9,-145,-145
59.6,0.596,1.68,-147.5,-150,-150
59.7,0.597,1.68,-148.1,-150,-150
59.8,0.598,1.67,-148.8,-150,-150
59.9,0.599,1.67,-149.4,-150,-150
60.0,0.6,1.67,-150.0,-150,-150
60.1,0.601,1.66,-150.6,-150,-150
60.2,0.602,1.66,-151.3,-150,-150
60.3,0.603,1.66,-151.9,-150,-150
60.4,0.604,1.66,-152.5,-155,-155
60.5,0.605,1.65,-153.2,-155,-155
60.6,0.606,1.65,-153.8,-155,-155
60.7,0.607,1.65,-154.5,-155,-155
60.8,0.608,1.64,-155.1,-155,-155
60.9,0.609,1.64,-155.8,-155,-155
61.0,0.61,1.64,-156.4,-155,-155
61.1,0.611,1.64,-157.1,-155,-155
61.2,0.612,1.63,-157.7,-160,-160
61.3,0.613,1.63,-158.4,-160,-160
61.4,0.614,1.63,-159.1,-160,-160
61.5,0.615,1.63,-159.7,-160,-160
61.6,0.616,1.62,-160.4,-160,-160
61.7,0.617,1.62,-161.1,-160,-160
61.8,0.618,1.62,-161.8,-160,-160
61.9,0.619,1.62,-162.5,-160,-160
62.0,0.62,1.61,-163.2,-165,-165
62.1,0.621,1.61,-163.9,-165,-165
62.2,0.622,1.61,-164.6,-165,-165
62.3,0.623,1.61,-165.3,-165,-165
62.4,0.624,1.6,-166.0,-165,-165
62.5,0.625,1.6,-166.7,-165,-165
62.6,0.626,1.6,-167.4,-165,-165
62.7,0.627,1.59,-168.1,-170,-170
62.8,0.628,1.59,-168.8,-170,-170
62.9,0.629,1.59,-169.5,-170,-170
63.0,0.63,1.59,-170.3,-170,-170
63.1,0.631,1.58,-171.0,-170,-170
63.2,0.632,1.58,-171.7,-170,-170
63.3,0.633,1.58,-172.5,-170,-170
63.4,0.634,1.58,-173.2,-175,-175
63.5,0.635,1.57,-174.0,-175,-175
63.6,0.636,1.57,-174.7,-175,-175
63.7,0.637,1.57,-175.5,-175,-175
63.8,0.638,1.57,-176.2,-175,-175
63.9,0.639,1.56,-177.0,-175,-175
64.0,0.64,1.56,-177.8,-180,-180
64.1,0.641,1.56,-178.6,-180,-180
64.2,0.642,1.56,-179.3,-180,-180
64.3,0.643,1.56,-180.1,-180,-180
64.4,0.644,1.55,-180.9,-180,-180
64.5,0.645,1.55,-181.7,-180,-180
64.6,0.646,1.55,-182.5,-180,-180
64.7,0.647,1.55,-183.3,-185,-185
64.8,0.648,1.54,-184.1,-185,-185
64.9,0.649,1.54,-184.9,-185,-185
65.0,0.65,1.54,-185.7,-185,-185
65.1,0.651,1.54,-186.5,-185,-185
65.2,0.652,1.53,-187.4,-185,-185
65.3,0.653,1.53,-188.2,-190,-190
65.4,0.654,1.53,-189.0,-190,-190
65.5,0.655,1.53,-189.9,-190,-190
65.6,0.656,1.52,-190.7,-190,-190
65.7,0.657,1.52,-191.5,-190,-190
65.8,0.658,1.52,-192.4,-190,-190
65.9,0.659,1.52,-193.3,-195,-195
66.0,0.66,1.52,-194.1,-195,-195
66.1,0.661,1.51,-195.0,-195,-195
66.2,0.662,1.51,-195.9,-195,-195
66.3,0.663,1.51,-196.7,-195,-195
66.4,0.664,1.51,-197.6,-200,-200
66.5,0.665,1.5,-198.5,-200,-200
66.6,0.666,1.5,-199.4,-200,-200
66.7,0.667,1.5,-200.3,-200,-200
66.8,0.668,1.5,-201.2,-200,-200
66.9,0.669,1.49,-202.1,-200,-200
67.0,0.67,1.49,-203.0,-205,-205
67.1,0.671,1.49,-204.0,-205,-205
67.2,0.672,1.49,-204.9,-205,-205
67.3,0.673,1.49,-205.8,-205,-205
67.4,0.674,1.48,-206.7,-205,-205
67.5,0.675,1.48,-207.7,-210,-210
67.6,0.676,1.48,-208.6,-210,-210
67.7,0.677,1.48,-209.6,-210,-210
67.8,0.678,1.47,-210.6,-210,-210
67.9,0.679,1.47,-211.5,-210,-210
68.0,0.68,1.47,-212.5,-210,-210
68.1,0.681,1.47,-213.5,-215,-215
68.2,0.682,1.47,-214.5,-215,-215
68.3,0.683,1.46,-215.5,-215,-215
68.4,0.684,1.46,-216.5,-215,-215
68.5,0.685,1.46,-217.5,-215,-215
68.6,0.686,1.46,-218.5,-220,-220
68.7,0.687,1.46,-219.5,-220,-220
68.8,0.688,1.45,-220.5,-220,-220
68.9,0.689,1.45,-221.5,-220,-220
69.0,0.69,1.45,-222.6,-225,-225
69.1,0.691,1.45,-223.6,-225,-225
69.2,0.692,1.45,-224.7,-225,-225
69.3,0.693,1.44,-225.7,-225,-225
69.4,0.694,1.44,-226.8,-225,-225
69.5,0.695,1.44,-227.9,-230,-230
69.6,0.696,1.44,-228.9,-230,-230
69.7,0.697,1.43,-230.0,-230,-230
69.8,0.698,1.43,-231.1,-230,-230
69.9,0.699,1.43,-232.2,-230,-230
70.0,0.7,1.43,-233.3,-235,-235
70.1,0.701,1.43,-234.4,-235,-235
70.2,0.702,1.42,-235.6,-235,-235
70.3,0.703,1.42,-236.7,-235,-235
70.4,0.704,1.42,-237.8,-240,-240
70.5,0.705,1.42,-239.0,-240,-240
70.6,0.706,1.42,-240.1,-240,-240
70.7,0.707,1.41,-241.3,-240,-240
70.8,0.708,1.41,-242.5,-240,-240
70.9,0.709,1.41,-243.6,-245,-245
71.0,0.71,1.41,-244.8,-245,-245
71.1,0.711,1.41,-246.0,-245,-245
71.2,0.712,1.4,-247.2,-245,-245
71.3,0.713,1.4,-248.4,-250,-250
71.4,0.714,1.4,-249.7,-250,-250
71.5,0.715,1.4,-250.9,-250,-250
71.6,0.716,1.4,-252.1,-250,-250
71.7,0.717,1.39,-253.4,-255,-255
71.8,0.718,1.39,-254.6,-255,-255
71.9,0.719,1.39,-255.9,-255,-255
72.0,0.72,1.39,-257.1,-255,-255
72.1,0.721,1.39,-258.4,-260,-260
72.2,0.722,1.39,-259.7,-260,-260
72.3,0.723,1.38,-261.0,-260,-260
72.4,0.724,1.38,-262.3,-260,-260
72.5,0.725,1.38,-263.6,-265,-265
72.6,0.726,1.38,-265.0,-265,-265
72.7,0.727,1.38,-266.3,-265,-265
72.8,0.728,1.37,-267.6,-270,-270
72.9,0.729,1.37,-269.0,-270,-270
73.0,0.73,1.37,-270.4,-270,-270
73.1,0.731,1.37,-271.7,-270,-270
73.2,0.732,1.37,-273.1,-275,-275
73.3,0.733,1.36,-274.5,-275,-275
73.4,0.734,1.36,-275.9,-275,-275
73.5,0.735,1.36,-277.4,-275,-275
73.6,0.736,1.36,-278.8,-280,-280
73.7,0.737,1.36,-280.2,-280,-280
73.8,0.738,1.36,-281.7,-280,-280
73.9,0.739,1.35,-283.1,-285,-285
74.0,0.74,1.35,-284.6,-285,-285
74.1,0.741,1.35,-286.1,-285,-285
74.2,0.742,1.35,-287.6,-290,-290
74.3,0.743,1.35,-289.1,-290,-290
74.4,0.744,1.34,-290.6,-290,-290
74.5,0.745,1.34,-292.2,-290,-290
74.6,0.746,1.34,-293.7,-295,-295
74.7,0.747,1.34,-295.3,-295,-295
74.8,0.748,1.34,-296.8,-295,-295
74.9,0.749,1.34,-298.4,-300,-300
75.0,0.75,1.33,-300.0,-300,-300
